seed,field_reps,train_noise,include_allc,eval_noise,evaluation_set,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000000,4.325,1.0125,0.3375,1.0,0.3375
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000001,4.475,0.7875,0.2625,1.0,0.2625
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000002,4.5,0.75,0.25,1.0,0.25
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000003,4.275,1.0875,0.3625,1.0,0.3625
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000004,4.4,0.9,0.3,1.0,0.3
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000005,4.4,0.9,0.3,1.0,0.3
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000006,4.4,0.9,0.3,1.0,0.3
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000007,4.275,1.0875,0.3625,1.0,0.3625
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000008,4.275,1.0875,0.3625,1.0,0.3625
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000009,4.5,0.75,0.25,1.0,0.25
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000010,4.325,1.0125,0.3375,1.0,0.3375
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000011,4.325,1.0125,0.3375,1.0,0.3375
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000012,4.1,1.35,0.45,1.0,0.45
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000013,4.2,1.2,0.4,1.0,0.4
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000014,4.225,1.1625,0.3875,1.0,0.3875
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000015,4.275,1.0875,0.3625,1.0,0.3625
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000016,4.25,1.125,0.375,1.0,0.375
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000017,4.4,0.9,0.3,1.0,0.3
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000018,4.275,1.0875,0.3625,1.0,0.3625
0,1,0.0,False,0.0,ALLC,Memory-1(ALLC),2000000000019,4.375,0.9375,0.3125,1.0,0.3125
0,1,0.0,False,0.0,self,evolved-m1,2000000000000,1.925,2.175,0.45,0.4,0.225
0,1,0.0,False,0.0,self,evolved-m1,2000000000001,1.8375,2.0875,0.425,0.375,0.2375
0,1,0.0,False,0.0,self,evolved-m1,2000000000002,2.325,1.6375,0.35,0.4875,0.275
0,1,0.0,False,0.0,self,evolved-m1,2000000000003,1.9375,2.1875,0.4875,0.4375,0.325
0,1,0.0,False,0.0,self,evolved-m1,2000000000004,1.8875,2.1375,0.4375,0.3875,0.225
0,1,0.0,False,0.0,self,evolved-m1,2000000000005,2.0875,1.9,0.3875,0.425,0.225
0,1,0.0,False,0.0,self,evolved-m1,2000000000006,2.05,2.05,0.4625,0.4625,0.3375
0,1,0.0,False,0.0,self,evolved-m1,2000000000007,2.125,2.0625,0.4375,0.45,0.2375
0,1,0.0,False,0.0,self,evolved-m1,2000000000008,2.05,2.05,0.45,0.45,0.3
0,1,0.0,False,0.0,self,evolved-m1,2000000000009,2.125,1.9375,0.3875,0.425,0.1875
0,1,0.0,False,0.0,self,evolved-m1,2000000000010,2.0375,2.0375,0.4375,0.4375,0.275
0,1,0.0,False,0.0,self,evolved-m1,2000000000011,2.25,2.0625,0.45,0.4875,0.25
