seed,regime,i,j,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation,mean_cooperation,mean_payoff
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030204,1.1625,1.1,0.0375,0.05,0.0,0.04375,1.13125
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030206,1.1375,1.2,0.0625,0.05,0.0,0.05625,1.16875
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030208,1.075,1.2,0.0625,0.0375,0.0125,0.05,1.1375
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030210,1.1125,1.3,0.0875,0.05,0.0,0.06875,1.20625
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030212,1.3125,1.25,0.0875,0.1,0.0,0.09375,1.28125
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030214,1.0625,1.5,0.1375,0.05,0.0,0.09375,1.28125
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030216,1.1,1.35,0.1,0.05,0.0,0.07500000000000001,1.225
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030218,1.1875,1.125,0.05,0.0625,0.0125,0.05625,1.15625
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030220,1.1375,1.325,0.1,0.0625,0.0125,0.08125,1.23125
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030222,0.9875,1.425,0.1125,0.025,0.0,0.06875,1.20625
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030224,1.075,1.3875,0.1125,0.05,0.0125,0.08125,1.23125
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030226,1.2125,1.0875,0.0375,0.0625,0.0,0.05,1.15
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030228,1.2125,1.2125,0.075,0.075,0.0125,0.075,1.2125
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030230,1.1375,1.2625,0.0875,0.0625,0.025,0.075,1.2
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030232,1.225,1.1625,0.0625,0.075,0.0125,0.06875,1.19375
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030234,1.3,1.3,0.1,0.1,0.0,0.1,1.3
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030236,1.3375,1.3375,0.1125,0.1125,0.0,0.1125,1.3375
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030238,1.1875,1.1875,0.0625,0.0625,0.0,0.0625,1.1875
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033600,1.6875,1.125,0.0875,0.2,0.025,0.14375,1.40625
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033602,1.4125,1.0375,0.0375,0.1125,0.0,0.075,1.225
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033604,1.4875,1.2375,0.1,0.15,0.0125,0.125,1.3625
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033606,1.275,1.15,0.0625,0.0875,0.0125,0.075,1.2125
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033608,1.55,0.9875,0.0375,0.15,0.0125,0.09375,1.26875
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033610,1.4,1.15,0.075,0.125,0.025,0.1,1.275
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033612,1.425,0.9875,0.025,0.1125,0.0,0.06875,1.20625
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033614,1.5,1.125,0.075,0.15,0.025,0.11249999999999999,1.3125
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033616,1.4125,1.1625,0.075,0.125,0.0125,0.1,1.2875
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033618,1.2125,1.275,0.0875,0.075,0.0,0.08124999999999999,1.24375
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033620,1.5375,1.0375,0.05,0.15,0.0125,0.1,1.2875
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033622,1.1,1.5375,0.15,0.0625,0.0,0.10625,1.31875
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033624,1.475,1.1625,0.0875,0.15,0.0375,0.11875,1.31875
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033626,1.3875,1.2625,0.1,0.125,0.0125,0.1125,1.325
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033628,1.3625,1.05,0.0375,0.1,0.0,0.06875,1.20625
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033630,1.1125,1.2375,0.075,0.05,0.0125,0.0625,1.175
2,mixed,15,18,"Memory-1(0.49405697633605744, 0.19802677279422037, 0.054915395506663724, 0.08295578832858017, 0.07677270336384504)",3000200033632,1.4125,1.1,0.0625,0.125,0.025,0.09375,1.25625
