seed,regime,evaluation_set,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation
0,mixed,common_field,Grudger,3000010000422,1.3375,1.3375,0.125,0.125,0.0375
0,mixed,common_field,Grudger,3000010000424,0.9125,1.6625,0.175,0.025,0.0125
0,mixed,common_field,Grudger,3000010000426,1.075,1.45,0.125,0.05,0.0
0,mixed,common_field,Grudger,3000010000428,1.0375,1.6,0.1625,0.05,0.0
0,mixed,common_field,Grudger,3000010000430,1.075,1.575,0.1625,0.0625,0.0125
0,mixed,common_field,Grudger,3000010000432,1.2625,1.5125,0.1625,0.1125,0.025
0,mixed,common_field,Grudger,3000010000434,1.175,1.175,0.0625,0.0625,0.0125
0,mixed,common_field,Grudger,3000010000436,1.15,1.3375,0.1,0.0625,0.0
0,mixed,common_field,Grudger,3000010000438,1.25,1.125,0.05,0.075,0.0
0,mixed,common_field,Joss (0.9),3000010000600,1.3,1.1125,0.05,0.0875,0.0
0,mixed,common_field,Joss (0.9),3000010000602,1.275,1.025,0.025,0.075,0.0
0,mixed,common_field,Joss (0.9),3000010000604,1.4625,1.2125,0.0875,0.1375,0.0
0,mixed,common_field,Joss (0.9),3000010000606,1.5,1.0625,0.05,0.1375,0.0
0,mixed,common_field,Joss (0.9),3000010000608,1.4,1.0875,0.05,0.1125,0.0
0,mixed,common_field,Joss (0.9),3000010000610,1.4875,1.1125,0.075,0.15,0.0375
0,mixed,common_field,Joss (0.9),3000010000612,1.55,1.3625,0.15,0.1875,0.05
0,mixed,common_field,Joss (0.9),3000010000614,1.3,1.3,0.1,0.1,0.0
0,mixed,common_field,Joss (0.9),3000010000616,1.325,1.1375,0.0625,0.1,0.0125
0,mixed,common_field,Joss (0.9),3000010000618,1.3125,1.1875,0.075,0.1,0.0125
0,mixed,common_field,Joss (0.9),3000010000620,1.4,1.0875,0.05,0.1125,0.0
0,mixed,common_field,Joss (0.9),3000010000622,1.3625,1.2375,0.0875,0.1125,0.0
0,mixed,common_field,Joss (0.9),3000010000624,1.475,1.1,0.0625,0.1375,0.0125
0,mixed,common_field,Joss (0.9),3000010000626,1.4,1.275,0.1,0.125,0.0
0,mixed,common_field,Joss (0.9),3000010000628,1.3125,1.1875,0.075,0.1,0.0125
0,mixed,common_field,Joss (0.9),3000010000630,1.3875,1.325,0.125,0.1375,0.0375
0,mixed,common_field,Joss (0.9),3000010000632,1.4375,1.0625,0.05,0.125,0.0125
0,mixed,common_field,Joss (0.9),3000010000634,1.35,1.1,0.05,0.1,0.0
0,mixed,common_field,Joss (0.9),3000010000636,1.4125,1.35,0.1375,0.15,0.05
0,mixed,common_field,Joss (0.9),3000010000638,1.4375,1.125,0.0625,0.125,0.0
0,mixed,common_field,Random (0.5),3000010000800,2.825,0.7,0.05,0.475,0.025
0,mixed,common_field,Random (0.5),3000010000802,2.5875,1.15,0.15,0.4375,0.0125
0,mixed,common_field,Random (0.5),3000010000804,2.75,0.9375,0.1125,0.475,0.0375
0,mixed,common_field,Random (0.5),3000010000806,2.2875,1.2875,0.1875,0.3875,0.075
0,mixed,common_field,Random (0.5),3000010000808,2.975,0.85,0.1,0.525,0.025
0,mixed,common_field,Random (0.5),3000010000810,2.75,0.8125,0.075,0.4625,0.025
0,mixed,common_field,Random (0.5),3000010000812,2.8375,0.7125,0.0625,0.4875,0.05
0,mixed,common_field,Random (0.5),3000010000814,3.0875,0.7125,0.075,0.55,0.0375
0,mixed,common_field,Random (0.5),3000010000816,2.8125,0.9375,0.1125,0.4875,0.025
0,mixed,common_field,Random (0.5),3000010000818,2.9,0.8375,0.1,0.5125,0.05
0,mixed,common_field,Random (0.5),3000010000820,2.6625,0.7875,0.0625,0.4375,0.025
0,mixed,common_field,Random (0.5),3000010000822,2.775,0.8375,0.075,0.4625,0.0
0,mixed,common_field,Random (0.5),3000010000824,2.75,0.875,0.1,0.475,0.05
0,mixed,common_field,Random (0.5),3000010000826,3.0625,0.875,0.125,0.5625,0.0625
0,mixed,common_field,Random (0.5),3000010000828,3.125,0.75,0.0875,0.5625,0.0375
0,mixed,common_field,Random (0.5),3000010000830,2.8125,0.875,0.1,0.4875,0.0375
0,mixed,common_field,Random (0.5),3000010000832,2.9375,0.8125,0.1,0.525,0.0625
0,mixed,common_field,Random (0.5),3000010000834,2.175,1.1125,0.125,0.3375,0.05
0,mixed,common_field,Random (0.5),3000010000836,2.825,0.8875,0.1125,0.5,0.0625
0,mixed,common_field,Random (0.5),3000010000838,2.75,0.9375,0.125,0.4875,0.075
0,mixed,common_field,Tester,3000010001000,1.575,1.2,0.1,0.175,0.025
0,mixed,common_field,Tester,3000010001002,1.325,1.0125,0.025,0.0875,0.0
